glm,lda,qda,bs,forest,svm,nb,NA.,data,ncases,npreds
0.8488624563,0.8531105447,0.8179930143,0.8041159256,0.8718965354,0.1521759653,0.8232795242,NA,6,686,11
0.8348588863,0.8404843631,0.7479977117,0.7477116705,0.783085431,0.1978451564,0.6983218917,NA,6,686,11
0.7977240398,0.7981981982,0.7625414889,0.768895211,0.8009483167,0.777619725,0.7389284021,NA,6,686,11
0.8248266564,0.8288713405,0.8078775039,0.7867873652,0.8214560863,0.8238636364,0.7742681048,NA,6,686,11
0.8284482759,0.829789272,0.8327586207,0.7474137931,0.7975095785,0.8183908046,0.7882183908,NA,6,686,11
0.8425862907,0.8471560525,0.7648031113,0.7421487603,0.8205153136,0.1838599903,0.7391346621,NA,6,686,11
0.8036641221,0.8063104326,0.7607124682,0.796437659,0.8068193384,0.7830025445,0.7398473282,NA,6,686,11
0.8706538171,0.873015873,0.8324829932,0.8176492819,0.8925736961,0.865835223,0.8377739985,NA,6,686,11
0.807183908,0.8114942529,0.7788314176,0.7713601533,0.8322796935,0.1792145594,0.7489463602,NA,6,686,11
0.8199810606,0.8195075758,0.7944128788,0.796969697,0.8416666667,0.8305871212,0.7875,NA,6,686,11
0.844348659,0.8459770115,0.8122605364,0.8327586207,0.8609195402,0.1402298851,0.7763409962,NA,6,686,11
0.7708805745,0.7719198791,0.7918556311,0.7793839758,0.7891156463,0.227324263,0.7298752834,NA,6,686,11
0.8085045389,0.8168179646,0.7211657907,0.7698996656,0.7905398949,0.8155757286,0.700621118,NA,6,686,11
0.8310559006,0.830960344,0.80649785,0.802006689,0.7995222169,0.1882465361,0.7331103679,NA,6,686,11
0.8055230289,0.806401249,0.7801522248,0.7141881343,0.8100117096,0.8046448087,0.743559719,NA,6,686,11
0.8540236461,0.8559305873,0.8031083143,0.7850877193,0.8352402746,0.8337147216,0.7884248665,NA,6,686,11
0.831186573,0.8426034348,0.7507806401,0.8099141296,0.8345042935,0.8090359094,0.7544886807,NA,6,686,11
0.8447948328,0.8457446809,0.8408054711,0.8366261398,0.8559080547,0.8454597264,0.8256079027,NA,6,686,11
0.8285824345,0.8314714946,0.8267526965,0.7701271186,0.8231895223,0.8037365177,0.7890023112,NA,6,686,11
0.9109589041,0.9172286617,0.8763435195,0.8464172813,0.9157007376,0.08382507903,0.9019494204,NA,7,918,11
0.9315597511,0.9302724737,0.9248015447,0.8957305299,0.9370843167,0.06404205106,0.9266788243,NA,7,918,11
0.9306490066,0.9289006623,0.8987549669,0.8956821192,0.9246092715,0.9312317881,0.9236556291,NA,7,918,11
0.9264635762,0.9291655629,0.9023046358,0.8896953642,0.9277880795,0.9314966887,0.9141721854,NA,7,918,11
0.894524618,0.8938879457,0.8877334465,0.8736205433,0.9093272496,0.9113433786,0.9033849745,NA,7,918,11
0.921940592,0.9214092141,0.90302354,0.8760826824,0.9255008236,0.9245443435,0.9213560763,NA,7,918,11
0.9250118903,0.9217883,0.9281826349,0.8802515457,0.9225281404,0.9299793902,0.9228980606,NA,7,918,11
0.9298787091,0.9283625731,0.9087069526,0.8874810483,0.9326402426,0.9377842755,0.9245722331,NA,7,918,11
0.9045315272,0.9100145138,0.9051765844,0.8662043756,0.9146374241,0.9196366177,0.9150137075,NA,7,918,11
0.9265460437,0.9275182285,0.9153659195,0.9207129355,0.930920875,0.06708074534,0.920820956,NA,7,918,11
0.9283678209,0.9321157095,0.9070418074,0.8717271959,0.9325907939,0.06693412162,0.9093116554,NA,7,918,11
0.9083478353,0.9095079892,0.8928966936,0.8726994674,0.9018615198,0.09624004641,0.9096661921,NA,7,918,11
0.9199272066,0.9189102393,0.9242091741,0.8454209709,0.9267783547,0.07215115346,0.9282235187,NA,7,918,11
0.9394179894,0.9354497354,0.9121693122,0.8886772487,0.9296296296,0.9335978836,0.927037037,NA,7,918,11
0.9425213675,0.9411324786,0.9480235043,0.8918269231,0.9427884615,0.05801282051,0.9501602564,NA,7,918,11
0.9537239869,0.9538882804,0.906407448,0.8989594743,0.9481927711,0.9512595838,0.9307776561,NA,7,918,11
0.9316133877,0.9322033898,0.9107487664,0.8831795752,0.9244260888,0.06098476722,0.9245333619,NA,7,918,11
0.9285282646,0.9272647366,0.8888644729,0.873921881,0.9309454486,0.07125199143,0.8992473768,NA,7,918,11
0.9112647804,0.9152766047,0.9074113176,0.8919974662,0.9240392736,0.9255173142,0.9205025338,NA,7,918,11
0.9322033898,0.9352070371,0.9091933062,0.902649646,0.935099764,0.9384252306,0.9171851534,NA,7,918,11
0.8808808809,0.8708708709,0.8798798799,0.8518518519,0.8808808809,0.8698698699,0.8658658659,NA,8,303,13
0.925170068,0.9222546161,0.8960155491,0.8629737609,0.9076773567,0.0898931001,0.8940719145,NA,8,303,13
0.915942029,0.9154589372,0.9028985507,0.9014492754,0.9198067633,0.09420289855,0.9231884058,NA,8,303,13
0.909270217,0.9146942801,0.8875739645,0.8767258383,0.9038461538,0.1050295858,0.9058185404,NA,8,303,13
0.9225490196,0.9240196078,0.9156862745,0.925,0.9210784314,0.08725490196,0.9053921569,NA,8,303,13
0.912195122,0.9165853659,0.9117073171,0.8507317073,0.9370731707,0.06731707317,0.9068292683,NA,8,303,13
0.8955882353,0.9,0.906372549,0.9269607843,0.912254902,0.09803921569,0.8990196078,NA,8,303,13
0.8771760155,0.8766924565,0.8389748549,0.8573500967,0.8820116054,0.8496131528,0.9003868472,NA,8,303,13
0.8641588297,0.8599791014,0.8474399164,0.8453500522,0.8798328109,0.1306165099,0.8610240334,NA,8,303,13
0.8631528046,0.8665377176,0.8588007737,0.8515473888,0.8945841393,0.8670212766,0.8704061896,NA,8,303,13
0.8517073171,0.856097561,0.8209756098,0.8331707317,0.8643902439,0.8624390244,0.8341463415,NA,8,303,13
0.8882352941,0.875,0.8397058824,0.9102941176,0.9107843137,0.1215686275,0.8808823529,NA,8,303,13
0.8704061896,0.8829787234,0.830754352,0.8742746615,0.8984526112,0.1146034816,0.8762088975,NA,8,303,13
0.9014634146,0.9087804878,0.872195122,0.8702439024,0.8887804878,0.8990243902,0.8946341463,NA,8,303,13
0.8892156863,0.8818627451,0.8995098039,0.9235294118,0.8906862745,0.1196078431,0.8833333333,NA,8,303,13
0.8990243902,0.9107317073,0.8556097561,0.8902439024,0.9126829268,0.1004878049,0.8990243902,NA,8,303,13
0.9342995169,0.9275362319,0.9246376812,0.9,0.9396135266,0.06570048309,0.9280193237,NA,8,303,13
0.9058536585,0.907804878,0.9112195122,0.9102439024,0.9209756098,0.0887804878,0.896097561,NA,8,303,13
0.8585271318,0.8488372093,0.8740310078,0.8953488372,0.8716085271,0.148255814,0.8720930233,NA,8,303,13
0.920212766,0.919729207,0.9008704062,0.8708897485,0.916827853,0.8979690522,0.9047388781,NA,8,303,13
0.8387096774,0.8348824494,0.7392017496,0.9147074904,0.904866047,0.2044833242,0.7731000547,NA,9,299,12
0.8411531939,0.850763143,0.8247597513,0.873374788,0.868852459,0.8586772188,0.8309779536,NA,9,299,12
0.8453282828,0.851010101,0.7891414141,0.8876262626,0.9034090909,0.8434343434,0.8055555556,NA,9,299,12
0.8209134615,0.8263221154,0.7620192308,0.8768028846,0.9176682692,0.1742788462,0.7896634615,NA,9,299,12
0.8281893004,0.8276748971,0.83281893,0.7613168724,0.8734567901,0.170781893,0.853909465,NA,9,299,12
0.8244949495,0.8453282828,0.8295454545,0.8712121212,0.8863636364,0.1622474747,0.8756313131,NA,9,299,12
0.8226010101,0.8257575758,0.8232323232,0.8106060606,0.8869949495,0.821969697,0.8440656566,NA,9,299,12
0.8776260504,0.8760504202,0.831407563,0.8902310924,0.9290966387,0.8692226891,0.8461134454,NA,9,299,12
0.8247597513,0.8383267383,0.7767100057,0.8631995478,0.9349915206,0.8473713963,0.8304126625,NA,9,299,12
0.9057112069,0.9024784483,0.8098060345,0.8432112069,0.8895474138,0.8723060345,0.822737069,NA,9,299,12
0.8865207373,0.8888248848,0.78859447,0.9239631336,0.926843318,0.8767281106,0.819124424,NA,9,299,12
0.8718766614,0.8856990962,0.8309409888,0.8670919724,0.9144072302,0.8787878788,0.8910154173,NA,9,299,12
0.857718894,0.8634792627,0.758640553,0.900921659,0.9020737327,0.8548387097,0.8536866359,NA,9,299,12
0.8806584362,0.8888888889,0.8453850676,0.9259259259,0.9288653733,0.1587301587,0.8747795414,NA,9,299,12
0.8972355769,0.9002403846,0.8287259615,0.9278846154,0.9573317308,0.8834134615,0.9002403846,NA,9,299,12
0.8894767784,0.8871252205,0.835978836,0.8965314521,0.8900646678,0.1140505585,0.8947677837,NA,9,299,12
